id,category_id,name,display_name,created_at,updated_at
1,1,police,Police,2020-12-17 11:36:54,2020-12-17 11:36:54
2,1,waiter,Waiter,2020-12-17 11:36:54,2020-12-17 11:36:54
3,1,driver,Driver,2020-12-17 11:36:54,2020-12-17 11:36:54
4,1,child,Child,2020-12-17 11:36:54,2020-12-17 11:36:54
5,1,model,Model,2020-12-17 11:36:54,2020-12-17 11:36:54
6,1,parent,Parent,2020-12-17 11:36:54,2020-12-17 11:36:54
7,1,artist,Artist,2020-12-17 11:36:54,2020-12-17 11:36:54
8,1,teacher,Teacher,2020-12-17 11:36:54,2020-12-17 11:36:54
9,1,scientist,Scientist,2020-12-17 11:36:54,2020-12-17 11:36:54
10,1,student,Student,2020-12-17 11:36:54,2020-12-17 11:36:54
11,1,chef,Chef,2020-12-17 11:36:54,2020-12-17 11:36:54
12,1,angel,Angel,2020-12-17 11:36:54,2020-12-17 11:36:54
13,2,doctor,Doctor,2020-12-17 11:36:54,2020-12-17 11:36:54
14,2,actor,Actor,2020-12-17 11:36:55,2020-12-17 11:36:55
15,2,reporter,Reporter,2020-12-17 11:36:55,2020-12-17 11:36:55
16,2,designer,Designer,2020-12-17 11:36:55,2020-12-17 11:36:55
17,2,salesperson,Salesperson,2020-12-17 11:36:55,2020-12-17 11:36:55
18,2,emcee,Emcee,2020-12-17 11:36:55,2020-12-17 11:36:55
19,2,nurse,Nurse,2020-12-17 11:36:55,2020-12-17 11:36:55
20,2,tour-guide,Tour Guide,2020-12-17 11:36:55,2020-12-17 11:36:55
21,2,photographer,Photographer,2020-12-17 11:36:55,2020-12-17 11:36:55
22,2,dancer,Dancer,2020-12-17 11:36:55,2020-12-17 11:36:55
23,2,singer,Singer,2020-12-17 11:36:55,2020-12-17 11:36:55
24,2,inventor,Inventor,2020-12-17 11:36:55,2020-12-17 11:36:55
25,3,coach,Coach,2020-12-17 11:36:55,2020-12-17 11:36:55
26,3,director,Director,2020-12-17 11:36:55,2020-12-17 11:36:55
27,3,detective,Detective,2020-12-17 11:36:55,2020-12-17 11:36:55
28,3,youtuber-1,Youtuber 1,2020-12-17 11:36:55,2020-12-17 11:36:55
29,3,challenge-day-emcee-1,Challenge Day Emcee 1,2020-12-17 11:36:55,2020-12-17 11:36:55
30,3,sculptor,Sculptor,2020-12-17 11:36:55,2020-12-17 11:36:55
31,3,reporter,Reporter,2020-12-17 11:36:55,2020-12-17 11:36:55
32,3,emcee,Emcee,2020-12-17 11:36:55,2020-12-17 11:36:55
33,3,lawyer,Lawyer,2020-12-17 11:36:55,2020-12-17 11:36:55
34,3,youtuber-2,Youtuber 2,2020-12-17 11:36:55,2020-12-17 11:36:55
35,3,challenge-day-emcee-2,Challenge Day Emcee 2,2020-12-17 11:36:56,2020-12-17 11:36:56
36,3,doctor,Doctor,2020-12-17 11:36:56,2020-12-17 11:36:56
37,1,chef,Chef,2020-12-17 11:37:25,2020-12-17 11:37:25
38,1,teacher,Teacher,2020-12-17 11:37:25,2020-12-17 11:37:25
39,1,dancer-special,Dancer (Special),2020-12-17 11:37:26,2020-12-17 11:37:26
40,1,waiter,Waiter,2020-12-17 11:37:26,2020-12-17 11:37:26
41,1,driver,Driver,2020-12-17 11:37:26,2020-12-17 11:37:26
42,1,model-special,Model (special),2020-12-17 11:37:26,2020-12-17 11:37:26
43,1,nurse,Nurse,2020-12-17 11:37:26,2020-12-17 11:37:26
44,1,firefighter,Firefighter ,2020-12-17 11:37:26,2020-12-17 11:37:26
45,1,gardener-special,Gardener (special),2020-12-17 11:37:26,2020-12-17 11:37:26
46,1,police,Police,2020-12-17 11:37:26,2020-12-17 11:37:26
47,1,tailor,Tailor ,2020-12-17 11:37:26,2020-12-17 11:37:26
48,1,scientist-special,Scientist (special),2020-12-17 11:37:26,2023-05-05 14:23:02
49,2,singer,Singer,2020-12-17 11:37:26,2020-12-17 11:37:26
50,2,salesperson,Salesperson,2020-12-17 11:37:26,2020-12-17 11:37:26
51,2,magician-special,Magician (special),2020-12-17 11:37:26,2020-12-17 11:37:26
52,2,photographer,Photographer,2020-12-17 11:37:26,2020-12-17 11:37:26
53,2,doctor,Doctor,2020-12-17 11:37:26,2020-12-17 11:37:26
54,2,party-host-special,Party Host (special),2020-12-17 11:37:26,2020-12-17 11:37:26
55,2,tour-guide,Tour Guide ,2020-12-17 11:37:26,2020-12-17 11:37:26
